symbol_or_expression,occurrences,source_notes
fbe5e996062a756fbfaabc58695848b758a320a4,1,22_MISSION_FRAMEWORK_MIGRATION.md
fc,1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
fc.a,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
fc.a(),1,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md
fc.a(angle),1,30_NATIVE_THRUSTER_BINDING_RECOVERY.md
fc.java,5,29_NATIVE_THRUSTER_OPERATOR_RECOVERY.md; 30_NATIVE_THRUSTER_BINDING_RECOVERY.md
fcb,1,DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
FIELD_INDEX.tsv,2,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
FIELD_REFERENCE_INDEX.tsv,2,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/INDEX_MANIFEST.md; ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
finaloutline,2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
finalX * mass >> 4,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
finalY * mass >> 4,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
FindFirstChild,1,10_ROBLOX_LUAU_REFERENCE.md
fnb.a,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
fnb.a/fnb.b,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
fnb.b,1,31_COMPONENT_56_SLOT_RECONCILIATION.md
FORENSIC_MASTER.md,12,00_FORENSIC_ENGINEER_BLUEPRINT.md; 00_SOURCE_INDEX.md; FORENSIC_README.md
FORENSIC_README.md,2,00_SOURCE_INDEX.md
FORENSIC_VARIABLE_REGISTRY.csv,6,00_SOURCE_INDEX.md; FORENSIC_README.md
ForensicDataModel,1,01_GAME_STRUCTURE_INVENTORY.md
ForensicDataModel.luau,2,01_GAME_STRUCTURE_INVENTORY.md
FULL_JAR_ANALYSIS.md,3,33_NATIVE_PHYSICS_CONFIG_RECONCILIATION.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
g[],1,01_GAME_STRUCTURE_INVENTORY.md
game.ReplicatedStorage.Shared.Combat,2,01_GAME_STRUCTURE_INVENTORY.md
game.ReplicatedStorage.Shared.Physics,2,01_GAME_STRUCTURE_INVENTORY.md
game.ReplicatedStorage.VOIDA_Network.Events,2,03_NETWORK_RPC_MANIFEST.md
game.ReplicatedStorage.VOIDA_Network.Functions,2,03_NETWORK_RPC_MANIFEST.md
game.ServerScriptService,2,01_GAME_STRUCTURE_INVENTORY.md
game.StarterPlayer.StarterPlayerScripts,2,01_GAME_STRUCTURE_INVENTORY.md
gamecrc,1,00_DEFINITIVE_ORIGINAL_JAR.md
gamepackHash,1,00_DEFINITIVE_ORIGINAL_JAR.md
ge.<clinit>,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ge.c,7,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ge.c = 4,3,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md; 35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
ge.java,2,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
gla,1,DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
GLOBAL_DMG_MULT,1,02_BASELINE_GAMEPLAY_LOOP.md
grb,1,DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
h,2,01_GAME_STRUCTURE_INVENTORY.md
h += o / divisor,1,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
h += o / n3,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
hab.g,7,00_RAW_FORENSIC_REFERENCE.md; 01_GAME_STRUCTURE_INVENTORY.md; 31_COMPONENT_56_SLOT_RECONCILIATION.md
hab.g = new wfb[56],2,00_RAW_FORENSIC_REFERENCE.md; 31_COMPONENT_56_SLOT_RECONCILIATION.md
hab.g[56],1,01_GAME_STRUCTURE_INVENTORY.md
hab.java,2,00_RAW_FORENSIC_REFERENCE.md
hob,1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
hob.a,5,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
hob.a(...),1,21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
"hob.a(random,200,118)",1,19_RAW_PHYSICS_OPERATOR_RECOVERY.md
hob.java,4,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
i,3,01_GAME_STRUCTURE_INVENTORY.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md
I_FRAME_DURATION,1,02_BASELINE_GAMEPLAY_LOOP.md
ik,3,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/JAR_SEMANTIC_DOMAIN_MAP.md
ik.a,2,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
ik.a(-21049),1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
ik.a(...),1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
ik.java,4,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md; DEFINITIVE_VALUES/full_jar_semantic_census.md
IMPLEMENTED,2,00_SOURCE_INDEX.md; 10_ROBLOX_LUAU_REFERENCE.md
IMPLEMENTED / PARTIAL,2,19_RAW_PHYSICS_OPERATOR_RECOVERY.md; 21_NATIVE_DEBRIS_LAUNCH_MAPPING.md
InConnectCount,1,26_COMPONENT_DEFINITION_VALIDATION.md
InConnectPositions,1,26_COMPONENT_DEFINITION_VALIDATION.md
INDEX/CLASS_INDEX.tsv,1,01_GAME_STRUCTURE_INVENTORY.md
instance.Name,1,10_ROBLOX_LUAU_REFERENCE.md
int[235],1,DEFINITIVE_VALUES/235_NATIVE_DEFAULTS_ATTESTATION.md
Integer.MAX_VALUE,3,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md; DEFINITIVE_VALUES/NATIVE_COMPONENT_HP_OPERATOR.md
INTERMISSION_SEC,1,02_BASELINE_GAMEPLAY_LOOP.md
internalName=voidhunters,2,00_DEFINITIVE_ORIGINAL_JAR.md; DEFINITIVE_VALUES/NATIVE_CONFIGURATION_RESOLUTION.md
ipairs,1,10_ROBLOX_LUAU_REFERENCE.md
j,2,01_GAME_STRUCTURE_INVENTORY.md
JAR_CENSUS.md,4,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md
JAR_CENSUS_STATS.json,2,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md
JAR_SEMANTIC_CLASS_INDEX.csv,4,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md
JAR_SEMANTIC_DOMAIN_MAP.md,4,DEFINITIVE_VALUES/FULL_JAR_ANALYSIS.md; DEFINITIVE_VALUES/RAW_CENSUS_PROVENANCE.md
java_full.txt,6,30_BLOCKED_SHIELD_FORENSICS.md; 34_NATIVE_WEAPON_PARAMETER_CONTRACT.md
javap,1,ORIGINAL_JAR/PREPROCESSING_01_06/INDEX/SOURCE_EVIDENCE_LEDGER.md
javap -c -p,2,35_JAR_BYTECODE_PHYSICS_VERIFICATION.md
javap -c -p -s -constants,1,ORIGINAL_JAR/PREPROCESSING_01_06/README.md
